phase,matrix,variable,x_label,x_value,y_label,r=1,r=2,r=3,r=4,r=5,r=6
FCC,D,Temperature,Temperature_K,1000.0,λ·D,0.1518912108493249,-0.17553171145464078,0.14202675089628816,0.030355697554497952,-0.16224208908923418,-0.16177497303531949
FCC,D,Temperature,Temperature_K,1100.0,λ·D,0.13528054056215907,-0.15939263949209223,0.12537315123551657,0.04249838011441708,-0.14585521668273718,-0.14534615043719262
FCC,D,Temperature,Temperature_K,1200.0,λ·D,0.11808653971178554,-0.1426334771619679,0.1080929084475272,0.055186009634330006,-0.12886593143142253,-0.12831058573439572
FCC,D,Temperature,Temperature_K,1300.0,λ·D,0.10034284667969416,-0.1252836485339716,0.09023458925421074,0.06831358376343649,-0.11130314718129536,-0.11070167120953163
FCC,D,Temperature,Temperature_K,1400.0,λ·D,0.0820779016172053,-0.10736685820073255,0.07183849811334331,0.08179367513772462,-0.09319201433300231,-0.09254683201269243
FCC,D,Temperature,Temperature_K,1500.0,λ·D,0.06331588254674907,-0.08890220099040638,0.05293934541455363,0.09554829466425567,-0.07455401889953163,-0.07386892752161955
FCC,D,Temperature,Temperature_K,1600.0,λ·D,0.04407749657392807,-0.0699050483207003,0.03356777697913112,0.10950472199776687,-0.05540746917845169,-0.05468718347457858
FCC,D,Temperature,Temperature_K,1700.0,λ·D,0.024380602761465028,-0.05038772965027385,0.01375134520798132,0.12359329772238989,-0.03576798031642015,-0.035017875315315035
FCC,D,Temperature,Temperature_K,1800.0,λ·D,0.004240612155734996,-0.030359872076517837,-0.00648581246596843,0.13775275275733742,-0.015648530527472695,-0.014874556568256843
FCC,D,Temperature,Temperature_K,1900.0,λ·D,-0.016331113037875263,-0.009827033491435419,-0.02712848924889415,0.15195037924355,0.004942949304420272,0.005733909924009583
FCC,D,Temperature,Temperature_K,2000.0,λ·D,-0.03732712182872214,0.011208580073659102,-0.04815982751758797,0.16605251153516734,0.0260007275072406,0.0268001450422268
FCC,D,Temperature,Temperature_K,2100.0,λ·D,-0.0587365807115249,0.03274313205316108,-0.06955577658573932,0.179911012479434,0.04751598695135559,0.04831395755096069
FCC,D,Temperature,Temperature_K,2200.0,λ·D,-0.08054631927402445,0.054771703344033064,-0.09128886084456732,0.19339860186854083,0.06947814763097793,0.07026386634150611
FCC,D,Temperature,Temperature_K,2300.0,λ·D,-0.10274142047739651,0.07727912566347428,-0.11334152916014209,0.20647927863708937,0.09187169798604145,0.09263424631000611
FCC,D,Temperature,Temperature_K,2400.0,λ·D,-0.12530522179470668,0.10023345071809413,-0.13571470665209157,0.21925766186398782,0.11467368240332854,0.11540306988786575
FCC,D,Temperature,Temperature_K,2500.0,λ·D,-0.14822216799593155,0.12360737383457658,-0.15840600292086984,0.2318138072671299,0.1378636451706681,0.13855067300769278
FCC,D,Temperature,Temperature_K,2600.0,λ·D,-0.1714780148810484,0.14737885204486828,-0.18140932347312058,0.24419741406725068,0.161423986067895,0.16206004839896204
FCC,D,Temperature,Temperature_K,2700.0,λ·D,-0.19505965319037452,0.17152934410611148,-0.20471675791805932,0.2564403082478452,0.18533917390380963,0.1859161332312377
FCC,D,Temperature,Temperature_K,2800.0,λ·D,-0.2189549683573363,0.19604276492319897,-0.22831961329693706,0.26856354095302876,0.20959525647590393,0.21010536195491447
FCC,D,Temperature,Temperature_K,2900.0,λ·D,-0.24315272569148633,0.22090484023505158,-0.2522089817877741,0.28058151791546904,0.23417954001109656,0.2346153713268308
FCC,D,Temperature,Temperature_K,3000.0,λ·D,-0.2676424744511077,0.24610269226056522,-0.2763760502307308,0.2925044535053474,0.259080369087876,0.25943479608625963
FCC,D,Temperature,Temperature_K,3100.0,λ·D,-0.2924144664706772,0.2716245626140935,-0.3008122644787132,0.3043398587808387,0.28428696840456624,0.2845531207469984
FCC,D,Temperature,Temperature_K,3200.0,λ·D,-0.31745958632837584,0.29745961930387066,-0.3255094113393918,0.31609346125061477,0.3097893241096926,0.3099605675276878
FCC,D,Temperature,Temperature_K,3300.0,λ·D,-0.34276929086754415,0.32359781685618655,-0.3504596535655169,0.327769783958185,0.33557809144984435,0.33564800850187915
